Total,Crew,passenger,Ground,T,Incident[a],Phase,Year,Month,days_of_week,surivors,Country,City,accident ,Reason,Aircraft_name,Aircraft_model,flight_company
133,14,119,0,MIL,Iran Air Tours Flight 962 and Iranian Air Force Su-24,APRTOF ,1993,2,Monday,no survivors,Iran,Shahr-e Qods,Crashed,Into sea,Tupolev,Tu-154,Iran Air Tours
133,6,127,0,COM,Indian Airlines Flight 113,APR ,1988,10,Wednesday,no survivors,India,Ahmedabad,Crashed,while takeoff,Boeing,737-2A8,Indian Airlines Flight
133,7,126,0,COM,All Nippon Airways Flight 60,APR ,1966,2,Friday,no survivors,Japan,Tokyo Bay,Crashed,higy alltitude,Boeing,727-81,All Nippon Airways
132,9,123,0,COM,China Eastern Airlines Flight 5735,ENR ,2022,3,Monday,no survivors,China,Shentangbiao,exploded ,While landing,Boeing,737-89P,China Eastern Airlines
132,5,127,0,COM,USAir Flight 427,APR ,1994,9,Thursday,no survivors,U.S.,Aliquippa,Crashed,mountain collied,Boeing,737-3B7,USAir Flight 427
132,7,125,0,COM,SAM Colombia Flight 501,ENR ,1993,5,Wednesday,no survivors,Colombia,La Canada,Crashed,terrorist attack,Boeing,727-146,SAM Colombia Flight
132,8,124,0,COM,Aeroflot Flight 8641,ENR ,1982,6,Monday,no survivors,USSR,Mazyr,diappeared,Wing failure,Yakovlev,Yak-42,Aeroflot Flight 8641
131,7,124,0,COM,Air Philippines Flight 541,APR ,2000,4,Wednesday,no survivors,Philippines,Samal,Crashed,overloaded flight,Boeing,737-2H4,Air Philippines Flight
131,4,127,0,COM,TAN-SAHSA Flight 414,APR ,1989,10,Saturday,no survivors,Honduras,Tegucigalpa,Collied,lost signal,Boeing,727-224,TAN-SAHSA Flight 414
131,6,125,0,COM,Transportes Aéreos Portugueses Flight 425,LDG ,1977,11,Saturday,no survivors,Portugal,Santa Cruz,Crashed,mountain collied,Boeing,727-282Adv,Transportes Aéreos Portugueses
130,4,126,0,COM[s],TAAG Flight 462,ICL,1983,11,Tuesday,no survivors,Angola,Lubango,exploded,Misscommunication,Boeing,737-200,TAAG Flight 462
130,8,122,0,COM,Air France Flight 007,TOF ,1962,6,Sunday,no survivors,France,Paris,Crashed,mountain collied,Boeing,707-328,Air France Flight
129,8,121,0,COM,Air China Flight 129,APR ,2002,4,Monday,no survivors,South Korea,Busan,Crashed,explosive device,Boeing,767-2J6ER,Air China Flight
129,7,122,0,MIL,US Air Force (51-0137),APR ,1953,6,Thursday,no survivors,Japan,Tachikawa,Crashed,unable to control,Douglas,C-124A-DL,US Air Force
128,7,121,0,INH,"Xiamen Airlines Flight 8301, China Southwest Airlines Flight 4305, and CAAC Flight 3523",LDGSTD t,1990,10,Tuesday,no survivors,China,Baiyun District,Crashed,international act,Boeing,"737-247,",Xiamen Airlines Flight
128,8,120,0,COM,Iran Air Flight 291,APR ,1980,1,Monday,no survivors,Iran,Alborz Mountains,Crashed,Into sea,Boeing,727-86,Iran Air Flight
128,11,117,0,COM,United Air Lines Flight 718 and Trans World Airlines Flight 2,ENR  ,1956,6,Saturday,no survivors,U.S.,Grand Canyon,exploded ,while takeoff,Douglas,DC-7,United Air Lines
127,6,121,0,COM,Bhoja Air Flight 213,APR ,2012,4,Friday,no survivors,Pakistan,Islamabad,Crashed,higy alltitude,Boeing,737-236,Bhoja Air Flight
127,0,127,0,MIL,Russian Air Force (89 red),APR ,2002,8,Monday,no survivors,Russia,Khankala,Crashed,While landing,Mil,Mi-26,Russian Air Force
126,11,115,0,COM,Československé Státní Aerolinie Flight 540,APR ,1975,8,Wednesday,no survivors,Syria,Damascus,diappeared,mountain collied,Ilyushin,Il-62,Československé Státní Aerolinie
126,9,117,0,COM,Globe Air (HB-ITB),APR ,1967,4,Thursday,no survivors,Cyprus,Nicosia,Crashed,terrorist attack,Bristol,Britannia,Globe Air (HB-ITB)
125,5,120,0,COM,S7 Airlines Flight 778,LDG ,2006,7,Sunday,no survivors,Russia,Irkutsk,Collied,Wing failure,Airbus,A310-300,S7 Airlines Flight
125,6,119,0,INH,Ethiopian Airlines Flight 961,APR ,1996,11,Saturday,no survivors,Comoros,Indian Ocean,Crashed,overloaded flight,Boeing,767-260ER,Ethiopian Airlines Flight
125,9,115,1,COM,Baikal Airlines Flight 130,ENR ,1994,1,Monday,no survivors,Russia,Irkutsk,exploded,lost signal,Tupolev,Tu-154,Baikal Airlines Flight
124,11,113,0,COM,British Overseas Airways Corporation Flight 911,ENR ,1966,3,Saturday,no survivors,Japan,Gotemba,Crashed,mountain collied,Boeing,707-436,British Overseas Airways
